Date_Year_regrowth,Percent_Hard_Coral_Cover,Date_Year_bleaching,Percent_Bleaching
2002,50.15,1998,75
2003,49.55,1998,75
2001,45.3,1998,75
2002,50.91,1998,75
2003,49.24,1998,75
2000,46.82,1998,75
2001,25.19,1998,75
2002,16.17,1998,75
2003,16.38,1998,75
2000,26.28,1998,75
2001,14.65,1998,75
2002,13.77,1998,75
2003,17.55,1998,75
2000,11.97,1998,75
2001,2.3,1998,75
2002,36.9,1998,75
2003,0.2,1998,75
2000,10.8,1998,75
2001,3,1998,75
2002,8.6,1998,75
2003,1.6,1998,75
2011,5.5,1998,75
2010,5.9,1998,75
2011,48.7,1998,75
2010,0.5,1998,75
,,1998,75
2005,5.55,1998,75
2005,12.9,1998,75
2009,1.68,1998,75
2009,10.19,1998,75
2005,6.84,2005,75
2005,10.97,2005,75
2009,12.26,2005,75
2009,22.58,2005,75
2005,17.83,1983,75
2005,15.74,1998,75
2009,19.35,1998,75
2009,19.65,1998,75
2005,19.21,1999,75
2005,18.16,2007,75
2009,19.06,2007,75
2009,27.25,2005,75
2005,4.62,1998,75
2005,11.46,1998,75
2009,11.46,1998,75
2009,11.02,1998,75
2005,12.66,1998,75
2005,15.48,1998,75
2009,25.91,1998,75
2009,34.39,1998,75
,,1998,75
2003,3.42,1998,75
2000,1.02,1998,75
2004,1.17,1998,75
1994,7.3,1998,75
1994,4.91,2005,75
1994,6.99,1998,75
1997,11.46,1998,75
1997,19.5,1998,75
1997,47.32,1998,75
