Latitude_Degrees_regrowth,Longitude_Degrees_regrowth,Habitat_Type_regrowth,Turbidity_regrowth,Unnamed: 4,Date_Year_regrowth,Percent_Hard_Coral_Cover_regrowth,Percent_Macroalgal_Cover_regrowth,ClimSST_regrowth,Temperature_Mean_regrowth,Temperature_Minimum_regrowth,Wispeed_regrowth,SSTA_regrowth,SSTA_DHW_regrowth,Latitude_Degrees_bleaching,Longitude_Degrees_bleaching,Turbidity_bleaching,Percent_Cover_bleaching,Date_Year_bleaching,Bleaching_Level,Percent_Bleaching,ClimSST_bleaching,Temperature_Kelvin_bleaching,Wispeed_bleaching,SSTA_bleaching,SSTA_DHW_bleaching,Regrowth_Rate,Resilience_Status
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2016,,,,,,,,,15.144,-61.223,0.0334,,2005,,88.0,300.36,301.26,7.0,-0.09,7.23,0.0,Non-Resilient
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2017,4.4,3.23,,,,,,,-8.1167,39.7,0.1067,,1998,,88.0,301.22,303.76,5.0,2.0,12.04,0.0,Non-Resilient
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2018,,,,,,,,,20.099,-87.462,0.0366,,2006,,88.2,302.04,301.52,3.0,0.05,0.0,0.0,Non-Resilient
-19.18863889,146.8350278,Outer Reef Flat,0.22,,2018,3.46,10.97,,,,,,,11.259,-60.725,0.0604,,2005,,88.2,300.22,300.99,6.0,-0.32,3.08,-21.363636363636374,Non-Resilient
-19.16916667,146.8469444,Outer Reef Flat,0.22,,2018,,,,,,,,,17.774,-64.814,0.0352,,2005,,88.2,262.15,302.7,6.0,0.8,12.24,0.0,Non-Resilient
-19.16916667,146.8469444,Outer Reef Flat,0.22,,2018,4.4,1.94,,,,,,,25.449,-80.121,0.0845,,2005,,88.2,300.71,302.62,8.0,0.3,1.49,27.16763005780347,Non-Resilient
-19.15416667,146.8658333,Terrestrial Reef Flat,0.19,,2015,,,,,,,,,20.0995,-87.4625,0.0366,,2006,,88.24,302.04,301.52,3.0,0.05,0.0,0.0,Non-Resilient
-19.15416667,146.8658333,Terrestrial Reef Flat,0.19,,2017,7.23,0.0,,,,,,,18.6672,-87.7155,0.0286,,2005,,88.46,262.15,299.8,7.0,-1.51,5.39,64.31818181818181,Non-Resilient
-19.15416667,146.8658333,Terrestrial Reef Flat,0.19,,2018,,,,,,,,,18.667,-87.716,0.0286,,2005,,88.5,262.15,299.8,7.0,-1.51,5.39,0.0,Non-Resilient
-19.14833333,146.8702778,Terrestrial Reef Flat,0.18,,2018,5.35,10.97,,,,,,,18.345,-64.986,0.0452,,2005,,88.6,262.15,303.32,4.0,1.48,12.06,-26.002766251728914,Non-Resilient
-19.14833333,146.8702778,Terrestrial Reef Flat,0.18,,2015,,,,,,,,,17.803,-64.603,0.0396,,2005,,88.7,301.18,302.12,6.0,0.28,9.31,0.0,Non-Resilient
